"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年6月25日","1,498.47","1,512.93","1,512.93","1,480.27","1.43B","-1.06%"
"2019年6月24日","1,514.46","1,526.70","1,526.70","1,507.69","1.53B","-0.61%"
"2019年6月21日","1,523.81","1,531.39","1,534.49","1,515.91","2.28B","1.72%"
"2019年6月20日","1,498.01","1,469.81","1,507.62","1,463.82","1.86B","1.91%"
"2019年6月19日","1,469.99","1,501.25","1,504.41","1,469.59","1.69B","0.98%"
"2019年6月18日","1,455.75","1,443.65","1,460.19","1,437.04","907.55M","0.93%"
"2019年6月17日","1,442.35","1,450.56","1,459.21","1,437.14","996.88M","-0.80%"
"2019年6月14日","1,453.96","1,478.53","1,489.47","1,451.66","1.60B","-1.75%"
"2019年6月13日","1,479.83","1,474.55","1,485.72","1,464.84","1.46B","0.40%"
"2019年6月12日","1,473.90","1,481.42","1,486.60","1,467.54","1.46B","-0.90%"
"2019年6月11日","1,487.35","1,432.95","1,488.93","1,430.09","1.93B","3.91%"
"2019年6月10日","1,431.34","1,422.34","1,441.17","1,410.57","1.23B","1.08%"
"2019年6月6日","1,416.06","1,450.10","1,450.10","1,411.61","1.33B","-2.42%"
"2019年6月5日","1,451.18","1,471.95","1,475.54","1,448.99","1.24B","-0.35%"
"2019年6月4日","1,456.27","1,467.59","1,476.21","1,448.00","1.24B","-0.87%"
"2019年6月3日","1,468.98","1,489.43","1,499.01","1,466.27","1.43B","-0.99%"
"2019年5月31日","1,483.66","1,487.28","1,498.24","1,474.53","1.27B","-0.11%"
"2019年5月30日","1,485.24","1,494.35","1,495.24","1,466.83","1.35B","-0.84%"
"2019年5月29日","1,497.89","1,492.58","1,507.18","1,488.04","1.26B","-0.48%"
"2019年5月28日","1,505.16","1,497.12","1,506.78","1,483.76","1.60B","0.89%"
"2019年5月27日","1,491.95","1,447.98","1,496.79","1,445.79","1.83B","3.34%"
"2019年5月24日","1,443.75","1,452.04","1,465.24","1,437.93","1.49B","-0.52%"
"2019年5月23日","1,451.24","1,486.95","1,486.95","1,449.14","1.61B","-2.51%"
"2019年5月22日","1,488.63","1,493.66","1,503.81","1,477.46","1.48B","-0.34%"
"2019年5月21日","1,493.72","1,469.97","1,504.21","1,465.88","1.51B","1.66%"
"2019年5月20日","1,469.31","1,478.20","1,481.19","1,450.28","1.66B","-0.64%"
"2019年5月17日","1,478.75","1,537.45","1,537.45","1,472.46","1.93B","-3.58%"
"2019年5月16日","1,533.67","1,528.63","1,537.59","1,515.61","1.57B","0.33%"
"2019年5月15日","1,528.69","1,509.45","1,533.73","1,503.67","1.62B","2.28%"
"2019年5月14日","1,494.60","1,492.90","1,517.67","1,491.44","1.48B","-0.56%"
"2019年5月13日","1,503.06","1,513.96","1,523.88","1,494.48","1.54B","-2.01%"
"2019年5月10日","1,533.87","1,489.19","1,535.16","1,463.19","2.28B","4.38%"
